question,answer,,,,
What makes the Ferrari SF90 Stradale special?,The SF90 Stradale is Ferrari's first series-production plug-in hybrid. It combines a twin-turbo 4.0L V8 with three electric motors for a combined 986 hp output. Two electric motors sit on the front axle giving it four-wheel drive — a first for a mid-engined Ferrari road car. It can also run in full electric mode for short distances. The XX Stradale variant released in 2024 pushed the figure to 1016 hp.,,,,
How much does the Ferrari F80 cost?,The Ferrari F80 is priced at approximately 3.6 million euros before taxes and options. Only 799 will be built and all units were reportedly allocated within days of the car being revealed in October 2024. The F80 is the most expensive series-production Ferrari ever offered.,,,,
What engine does the Ferrari 12Cilindri use?,The 12Cilindri uses a naturally aspirated 6.5 litre V12 engine producing 830 hp at 9500 rpm. It is essentially the same architecture as the 812 Competizione engine but refined further. Ferrari chose to keep it naturally aspirated rather than adding turbochargers or hybridisation, which they say preserves the acoustic character of the V12 at high revs.,,,
What does Ferrari 296 GTB stand for?,The 296 GTB name breaks down as follows: 2996 refers to the 2992cc engine displacement rounded up, 6 refers to the six-cylinder configuration, and GTB stands for Gran Turismo Berlinetta which is a Ferrari naming tradition going back to the 1950s. It is the first six-cylinder mid-engined road car Ferrari has made since the Dino in the 1970s.,,
How did Ferrari do at Le Mans in recent years?,Ferrari won the 24 Hours of Le Mans in both 2023 and 2024 with the 499P Hypercar. These were Ferrari's first outright Le Mans victories since 1965 when they last competed at the top level of endurance racing. The 499P uses a twin-turbo V6 hybrid powertrain developed in partnership with Ferrari's road car hybrid programme.,,,,
What is the Ferrari Special Projects programme?,Ferrari Special Projects or SP is a programme that allows very high-net-worth clients to commission a unique one-off car built entirely to their specifications. Ferrari's in-house design centre produces a bespoke body and interior on an existing platform. Recent SP cars include the SP-8 from 2024 based on the F8 Tributo and the KC23 from 2023 which was based on the 812 Competizione.,,,,
What is the prancing horse symbol on Ferrari?,The Prancing Horse or Cavallino Rampante is Ferrari's emblem and one of the most recognised logos in the world. It is a black horse rearing up on a yellow background. Enzo Ferrari adopted the symbol after meeting Countess Paolina Baracca in 1923. Her son Francesco was a World War 1 flying ace who had a prancing horse painted on his aircraft. The Countess suggested Enzo use it for good luck.,,,,
What are the Ferrari SF-24 and SF-25?,The SF-24 and SF-25 are Ferrari's Formula 1 cars for the 2024 and 2025 seasons respectively. SF stands for Scuderia Ferrari. The SF-24 had a competitive season running close to Red Bull and McLaren. The SF-25 is the 2025 challenger driven by Charles Leclerc and Lewis Hamilton who joined Ferrari from Mercedes ahead of the 2025 season.,,,,
How many cars does Ferrari make each year?,Ferrari deliberately limits production to around 13000 to 14000 cars per year globally. This is intentional — Ferrari has stated they want demand to always slightly exceed supply. For comparison Lamborghini makes around 10000 per year and Porsche makes over 300000. Ferrari's approach means waiting lists for popular models can stretch to two or more years.,,,,
What is Novitec and what do they do to Ferraris?,Novitec is a German specialist tuning company based in Stetten im Remstal. They are authorised to work on Ferrari vehicles and offer a full range of modifications including engine performance upgrades through ECU tuning and hardware changes, sports exhaust systems, lowering springs, forged wheels, and extensive carbon fibre bodywork kits. Their most notable current product is the N-Largo wide-body conversion for the 296 GTB.
What is the difference between the Ferrari 499P and the 499P Modificata?,The standard 499P is Ferrari's factory works entry in the FIA World Endurance Championship run by the Competizioni GT department. The 499P Modificata is a road-legal track-only car built for private clients and is essentially a racing car you can own. It uses the same hybrid powertrain as the factory racer and is not homologated for public roads but can be driven at track events worldwide.,,,,
What does the Ferrari Roma Spider look like compared to the coupe?,The Roma Spider uses the same twin-turbo V8 as the coupe but adds a retractable hardtop which folds away in 14 seconds at speeds up to 60 km/h. The roofline is slightly higher than the coupe when closed and the rear is redesigned to accommodate the folding mechanism. Ferrari claims the aerodynamic performance is identical to the coupe with the roof closed. The Spider was launched at the 2023 Goodwood Festival of Speed.,,,,
What happened to Enzo Ferrari?,Enzo Ferrari was born in Modena in 1898 and died in Maranello on 14 August 1988 at the age of 90. He founded the company in 1939 and remained closely involved with Ferrari throughout his life. He famously never attended races after the death of his son Dino from muscular dystrophy in 1956 and later after accidents involving his drivers affected him deeply. The F40 was launched just two months after his death and he had personally overseen its development.,,,,
